X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,Ya,Yb,Yc
73,Spoon ,30,2.6,4.270529159,42.80059665,25.73671278,0,0,0,33,9,0,0,0,0
71,Fork ,28,1.7,1,45,120,0,0,0,15,9,1,0,1,1
76.5,Fork ,25,4.3,6.351248265,51,55.1,0,0,0,12.19945431,9,0,0,0,0
81,Spoon ,26,6,3,20,1.9,0,0,0,13.88533169,9,0,0,0,0
71.5,Fork ,30,4,6,58,97,0,0,0,12.32849525,9,0,0,0,0
89.75,Spoon ,28,3.082979585,3.155326055,38.62863179,20.74119246,0,0,0,7.450811654,9,0,0,0,0
83,Spoon ,30,5.1,2,51,11.2,0,0,0,16.71103584,9,0,0,0,0
87.75,Fork ,28,2.4,9.5,46,59,0,0,0,9.024942219,9,0,0,0,0
74.5,Spoon ,30,1,4,22,3.4,0,0,0,20,9,0,0,0,0
89.25,Spoon ,28,3.42638171,3.213858285,37.01331276,16.67536823,0,0,0,12.05989379,9,1,1,1,1
98.25,Spoon ,29.15051184,2.5,4.835571667,63,30,1,2,4,0,9,1,1,1,1
92.75,Fork ,25,3,57,68.4,59.74396923,0,0,0,18,9,1,1,1,1
75.75,Spoon ,28,3.87,5.5,59,34,0,0,0,13.60061053,9,1,1,1,1
88.75,Spoon ,28.00454428,3.576448259,3.478757928,30.42881929,10.99889035,0,0,0,16,9,1,1,1,1
86.75,Fork ,27.91868776,1.1,5,52,46,0,0,0,7,9,1,1,1,1
70.5,Spoon ,24,4,8.325993441,58,53.51534564,0,0,0,25,9,1,1,1,1
90.25,Fork ,29,3.287377753,5.976818503,62.5773845,62.42366473,0,0,0,39,9,1,1,1,1
84,Fork ,30,1,6,78,27,0,0,0,10,9,0,0,0,0
80.5,Spoon ,28,3.78717267,5.697607689,38.78603498,28.68326029,0,0,0,15.02056881,9,1,1,1,1
89.75,Spoon ,28,2.1,2.978896818,34.40505622,4.6,0,0,0,13,9,0,0,0,0
86.75,Spoon ,28,3.7,3.76317804,50,0.1,0,0,0,12.60764791,9,1,1,1,1
96.25,Spoon ,32,4,7.743046984,45.52804667,0.1,1,3,4,0,9,1,1,1,1
106.25,Spoon ,28.7832243,3.278743585,6.745708621,55.17090286,64.32075865,0,0,0,16,9,0,0,0,0
86.5,Fork ,32.44246558,4,6,89,6,0,0,0,41,9,1,0,1,1
91,Spoon ,28.00524187,1.2,15,43,56,0,0,0,25,9,1,1,1,1
83.25,Spoon ,28.47467887,3,3,55,3,0,0,0,14.79245252,9,1,1,1,1
103,Spoon ,27,3.1,3,43,55,0,0,0,4.590553021,9,0,0,0,0
97.5,Spoon ,27.89756042,3.496776134,3.885257139,39.06753314,20.33519225,0,0,0,9.154658837,9,0,0,0,0
90.25,Spoon ,28,2,3.028317618,34.49441731,14.03906322,0,0,0,10.17495076,9,1,1,1,1
77.25,Fork ,28.2227811,2.5,4,86,110,0,0,0,15.39754523,9,0,0,0,0
86.25,Fork ,27.90981134,2.9,10,76,84,1,2,3,0,9,0,0,0,0
82,Fork ,30.82959338,3.215594166,7.420910882,62.20446434,49.93720026,0,0,0,27,9,0,0,0,0
83.5,Fork ,29,1,8,58,165,0,0,0,13,9,0,0,0,0
90.5,Spoon ,25,1.5,2,29,6,0,0,0,9.574264409,9,0,0,0,0
94.5,Spoon ,30,5.3,4,30,2.3,0,0,0,11,9,0,0,0,0
108.25,Spoon ,27.73699083,8,3,43,81,0,0,0,4.575803439,9,0,0,0,0
89,Spoon ,28,3.145137081,5.844764366,45.75767427,34.14880495,0,0,0,16,30.6,1,0,0,1
78.75,Fork ,28,8,5,67,6,0,0,0,13.11160848,9,0,0,0,0
92.5,Spoon ,28,3,2,1,18,0,0,0,7,9,0,0,0,0
91.75,Fork ,27,3.535423336,6.128243086,59.12917081,67.16087703,0,0,0,16,9,0,0,0,0
69.25,Spoon ,39.17467173,1.5,2,59,36.7,0,0,0,51,9,1,1,1,1
94,Fork ,28,7.2,2,54,68.75,0,0,0,9,9,0,0,0,0
95.75,Spoon ,29,4,6,50,8,0,0,0,11,9.4,0,0,0,0
90.25,Fork ,28,3.294447227,6.188232652,58.33445512,63.95794442,0,0,0,7,5.5,1,0,0,1
79.25,Spoon ,27.59723099,2.399097218,4.312880754,34.73500605,24.15229334,0,0,0,16.67403088,9,1,1,1,1
86.25,Spoon ,32,2.23,5.447674648,32,35.71926111,0,0,0,14,5.7,1,1,1,1
83.5,Spoon ,28.38501428,2.887630392,5.587606926,42.99831724,28.25736643,0,0,0,16.69054641,9,1,0,1,1
92.5,Spoon ,29.02084685,1.8,0,50,0,0,2,3,0,9,1,0,1,1
79.5,Fork ,27,3.48291257,6.45320098,65.04404899,76.03023739,0,0,0,8.658569298,9,1,1,1,1
74.25,Spoon ,28,2.6,5,38,11.7,0,0,0,13,9,0,0,0,0
65.25,Spoon ,31,3.698648966,8.548292473,47.71219377,38.88379943,0,0,0,8,9,0,0,0,0
80,Spoon ,26,4,2,59,13.6,0,0,0,11.68118374,9,1,0,1,1
82.75,Fork ,28.85507726,1.4,9,65,47.6,0,0,0,20,9,0,0,0,0
92.5,Spoon ,28,4,4.575076205,49,42,0,0,0,19,9,1,1,1,1
98,Spoon ,28.15279255,3.4,1,7,9,0,0,0,8,16.9,1,1,1,1
84.75,Spoon ,30,6.4,10,63,93,0,0,0,14.07345878,9,0,0,0,0
79,Spoon ,30.63277843,1.6,5,54,103,0,0,0,32,9,0,0,0,0
93.25,Spoon ,33,2.5,3,40,5,0,0,0,16,9,0,0,0,0
77.5,Spoon ,26,0.6,2,5,12.56863625,0,0,0,17,9,0,0,0,0
90.5,Spoon ,27.50710549,4,4,58,12,0,0,0,11,9,0,0,0,0
79.25,Fork ,30.6438961,3.3,8,54,40,0,0,0,22,9,0,0,0,0
85.75,Fork ,28.33872315,3,3,69,33,0,0,0,11,9,1,1,1,1
100.75,Spoon ,28,2.4,4,47,51,0,0,0,5.428643838,9,0,0,0,0
81.5,Spoon ,28.46246346,2.7,2,54,11.5,0,0,0,1,9,0,0,0,0
109.5,Fork ,30,3.505498211,6.814177765,63.98301764,76.69848699,0,0,0,0,9,1,1,1,1
92.75,Spoon ,28.3562419,1.5,2,43.3,18,0,0,0,14,9,0,0,0,0
81,Fork ,28,3.043293936,6.523063141,62.32854499,79.31202004,0,0,0,13,9,0,0,0,0
80,Spoon ,28.0821578,2.2,5.656971843,35,25.6,0,0,0,18,9,1,1,1,1
74.5,Fork ,28,5.7,4,68,41.7,0,0,0,6,9,0,0,0,0
82,Spoon ,28,2.5,6,68,75.3,0,0,0,20,9,1,1,1,1
87,Spoon ,28,2.9,3,72,96,0,0,0,31,9,1,1,1,1
89.5,Spoon ,28.89488637,4.7,2,70,6,0,0,0,12.83720698,9,1,1,1,1
79.5,Spoon ,28.37302218,3,10,32,12,0,0,0,17.84451826,9,1,0,1,1
88.25,Spoon ,28,3.5,5.508602306,47.7,39.73356578,0,0,0,7,9,1,1,1,1
82.75,Fork ,27.61103891,1.9,10,85,150,0,0,0,11.35511416,9,0,0,0,0
86.5,Spoon ,24,1,9,49,110,0,0,0,13,9,0,0,0,0
84.75,Fork ,27,3.5,5,75,6,0,0,0,3,9,0,0,0,0
88,Spoon ,28,1,58,69,58.74508114,0,0,0,24,9,0,0,0,0
90.5,Fork ,38,3.239946572,7.731694666,61.74146191,75.88419728,0,0,0,18,9,0,0,0,0
86.75,Fork ,27.24737741,4.5,4,76,6,0,0,0,10.27670358,9,0,0,0,0
93.25,Spoon ,28,2.1,5.700260814,15,2.3,0,0,0,16.89009907,9,1,0,1,1
91,Spoon ,30,2,3,53,15,0,0,0,15.20061615,9,0,0,0,0
86,Spoon ,28.13471089,3,2,9,11,0,0,0,17,9,1,1,1,1
82.5,Spoon ,28.25433222,2,8,65,6,0,0,0,10,9,0,0,0,0
94.25,Fork ,26,2.2,5,54,23,0,0,3,0,9,0,0,0,0
81.75,Spoon ,27,3.1,4,29,9.2,0,0,0,12.89206364,9,0,0,0,0
84.5,Spoon ,27.71678033,2.979872703,6.069457958,37.88837398,33.99984018,0,0,0,20.07438204,9,1,0,0,1
94,Fork ,29,1.6,4,58,38,1,1,3,23,9,1,0,0,1
75.75,Fork ,29,4.5,11,74,55,0,0,0,11,9,0,0,0,0
86.25,Spoon ,27.64504008,1.6,4,21,10.2,0,0,0,12.84530146,9,1,0,1,1
95.25,Spoon ,27.59390191,1.9,5,25,19.4,0,0,0,0,9,1,0,1,1
112.25,Spoon ,29.24032794,6.6,8,61,21,0,0,0,6.918015366,9,0,0,0,0
94.5,Spoon ,27,4,55,5,24.34466181,0,0,0,12.72173647,9,1,1,1,1
90.5,Spoon ,28,3.263884485,4.464893852,43.1243095,29.43761124,0,0,0,11.85536899,9,1,0,0,1
93.25,Spoon ,26.69095076,3.487144582,9.852303929,43.26978942,33.80535997,0,0,0,10,9,0,0,0,0
75,Spoon ,28,3.845987133,6.899250131,49.11091139,39.17061399,0,0,0,11,9,0,0,0,0
84.5,Spoon ,25,2.5,4,69,14,0,0,0,10.41582964,9,1,1,1,1
94.75,Fork ,28,3.515324928,6.02792675,62.65378499,73.256801,0,0,0,8,9,1,1,1,1
79.75,Spoon ,28,3.6,10,43,38,0,0,0,24,9,1,0,0,1
87.5,Spoon ,25,4,8.818526812,0.4,25.34375667,0,0,0,16,9,1,0,0,1
86.5,Spoon ,28,3.134307151,4.032359118,41.71189888,20.07992558,0,0,0,25,9,1,1,1,1
89.25,Spoon ,27,25,7,41,43.52725377,0,0,0,12.44813028,9,0,0,0,0
106.75,Spoon ,26,3.2,4,37,6,0,0,0,6.238877131,9,1,1,1,1
87.25,Spoon ,28,4.7,3.599297332,39.0913271,18.90108915,0,0,0,12.91225564,9,1,1,1,1
87.25,Spoon ,27,3.172553288,4.538237878,41.01863768,27.63246402,0,0,0,20,9,1,1,1,1
74,Fork ,28,1.9,7,43,47,0,0,0,16,9,0,0,0,0
83.75,Fork ,30.11163075,4,6,71,62,0,0,0,29,9,0,0,0,0
113.25,Spoon ,25,3.1,8.5,36,10.5,0,0,0,6.477836962,9,0,0,0,0
95,Fork ,25,3.6,7,73,141,0,0,0,9.493921269,9,0,0,0,0
86.5,Spoon ,28,3.689657739,3.528894613,42.64216871,21.0610693,0,0,0,6,9,0,0,0,0
84.5,Spoon ,28.64680619,1.8,8,37,3.8,0,0,0,7,9,1,0,1,1
88.25,Spoon ,30,1.8,8,37,3.8,0,0,0,7,9,1,0,1,1
73.75,Spoon ,31.55677207,2.9,12,56,98,0,0,0,56,9,0,0,0,0
75,Spoon ,28,4.303426549,74,26,31.02825642,0,0,0,8,9,0,0,0,0
84.5,Fork ,28.86353931,1.9,15,56,110.7,0,0,0,15,9,0,0,0,0
84.25,Spoon ,31,4.4,4.841286216,57,34.83385496,0,0,0,21,9,0,0,0,0
90,Fork ,30,7.5,8,53,75,0,0,0,3,9,0,0,0,0
77.5,Spoon ,24,3,5,49,96,0,0,0,18,9,0,0,0,0
85.5,Spoon ,31,4.136408008,3.920225907,45.50819531,30.06152818,0,0,0,20,9,0,0,0,0
101.75,Spoon ,28.75430838,5.3,5,75,97.9,0,0,0,5.551724438,9,1,1,1,1
90.5,Fork ,29.31925352,2,4,74.5,28.6,0,0,0,31,9,1,0,1,1
85,Fork ,29,2,5,63,134,0,0,0,34,9,0,0,0,0
106.25,Spoon ,28,3.212628673,6.739494431,57.02074579,70.96707298,0,0,0,3.151288843,9,1,1,1,1
79.5,Spoon ,27,5.6,1,50,19.4,0,0,0,11.31420633,9,0,0,0,0
99.25,Fork ,28.59739884,3.691033367,7.119590167,63.13358358,73.77089337,0,0,0,8,9,0,0,0,0
86.25,Spoon ,26,3.227714622,4.964522311,43.38034579,27.25444268,0,0,0,11.9711417,9,0,0,0,0
88.5,Spoon ,27.74446984,3.073541956,4.251411754,42.46312034,29.05468509,0,0,0,15,9,0,0,0,0
70.5,Spoon ,28,4.5,7,63,8.9,0,0,0,11.32655842,9,0,0,0,0
85,Spoon ,28.31811915,3.2,7.003822387,60,190,0,0,0,11.94327088,9,1,1,1,1
72,Spoon ,28,3.562566809,8.758715799,4,45,0,0,0,28,9,0,0,0,0
76.5,Fork ,28.0624207,2.6,5,32,37,0,0,0,8,9,0,0,0,0
108.5,Spoon ,28,5.9,5,59,137,0,0,0,3.509014674,9,0,0,0,0
90.75,Spoon ,28.00901866,2.5,8,53,100.7,0,0,0,15,9,1,0,1,1
87,Spoon ,28,4.6,5,20,14,0,0,0,15,9,0,0,0,0
93.5,Fork ,28,2.3,7,69,186,0,0,0,8,9,0,0,0,0
85.75,Spoon ,26,2,4,40,30,0,0,0,14,9,1,1,1,1
88.75,Spoon ,28,1.8,11,38,86,0,0,0,12,9,1,0,1,1
93.25,Fork ,30,3.368331163,5.32537479,61.10876302,56.4339928,0,0,0,0,9,1,0,1,1
90.5,Fork ,28.3393269,4,14.17868203,99.2,66.86422161,0,0,0,17,9,1,1,1,1
82.75,Fork ,30,3.112536302,6.102693694,62.71161428,61.08510749,0,0,0,26,9,1,1,1,1
94.25,Spoon ,29,17.5,5,17,22.38495991,0,0,0,21,9,1,0,0,1
77.5,Spoon ,27.48589597,0.6,2,45,3,0,0,0,12.75654427,9,0,0,0,0
109.75,Spoon ,28,3.672072814,10.42554414,53.66679834,63.44748489,0,0,0,5.522689511,9,1,0,1,1
86.75,Fork ,30,2.5,7,50,15.3,0,0,0,14,9,0,0,0,0
89,Fork ,27.7011591,3.8,3.3,68,52,0,0,0,11.70537757,9,0,0,0,0
74.25,Spoon ,28,2.4,2,46,72,0,0,0,12.0573831,9,0,0,0,0
85.25,Spoon ,28,3.524746207,5.698359492,50.3322061,48.38663,0,0,0,12,9,0,0,0,0
87.75,Spoon ,29,2,3,24,12,0,0,0,12.41502424,9,0,0,0,0
94.5,Spoon ,30,2.8,1.2,39,59,0,0,0,13.13891866,9,1,0,1,1
92.75,Spoon ,28.6229018,1.6,1.8,47,46,0,0,0,12.68339288,9,1,1,1,1
95,Spoon ,30,3,6,71,25,0,0,0,27,9,1,0,1,1
86,Fork ,29,3.221636407,6.929962128,61.85675681,77.33343936,0,0,0,13,9,0,0,0,0
76.25,Spoon ,28.71489104,3.281118994,3.523942049,39.35517465,16.41103938,0,0,0,16.49625287,9,1,1,1,1
94,Spoon ,27,4,4,83,3,0,0,0,30,9,0,0,0,0
93.5,Fork ,28.75926591,3.583555153,5.801105447,66.26135065,73.92833291,0,0,0,0,9,0,0,0,0
90.5,Spoon ,24,3,5,36,44,0,0,0,7,9,1,1,1,1
68.25,Spoon ,29,2.3,3.975388769,37.52620721,22.16996113,0,0,0,16,9,0,0,0,0
76.75,Spoon ,29.05026399,3.583275357,4.254023222,50,28.49196864,0,0,0,17,9,0,0,0,0
92.5,Spoon ,27,2.5,4,24.5,32.7,0,0,0,24,9,0,0,0,0
86.5,Fork ,29,5,4,55,74,0,0,0,9.889166414,9,0,0,0,0
72.5,Fork ,28,2.4,6.356130993,66,75.21,0,0,0,24,9,0,0,0,0
86.5,Spoon ,28.98321421,3.030922438,4.595964892,49,7.2,0,0,0,22,9,1,0,1,1
98.25,Spoon ,29.4167124,3.373043915,5.708606089,49.57679621,46.74509507,0,0,0,27,9,0,0,0,0
91.5,Fork ,31,2,5,85,64.7,0,0,0,24,9,0,0,0,0
93,Spoon ,28,3.093069181,3.234350761,33.67293482,12.59009063,0,0,0,13,9,1,1,1,1
107,Spoon ,28,2,5.823349934,39,61,0,0,0,5.244729275,9,0,0,0,0
72.75,Spoon ,29.88551457,3.9,5.569467662,25,8.8,0,0,0,42,9,0,0,0,0
80.75,Spoon ,28.00357641,2,4,76,6,0,0,0,13.02557283,9,0,0,0,0
85.25,Fork ,28,3.5,6,68,6,0,0,0,8,9,1,1,1,1
120,Spoon ,33.5248302,5.1,9.245546315,7,1,0,0,0,19.48821813,9,1,1,1,1
71.75,Fork ,38,3.5,2,44,40,0,0,0,31.38382777,9,0,0,0,0
108.25,Spoon ,30,2.952901019,6.058223601,59.50892358,90.73144645,0,0,0,4,9,1,0,1,1
92.25,Fork ,35,1.3,4,34,149,0,0,0,18,9,0,0,0,0
86.5,Spoon ,27,2.4,5.364432381,36,24,0,0,0,30,9,1,1,1,1
94,Fork ,32.28503949,4.9,9,64,197,0,0,0,7,9,0,0,0,0
92.75,Spoon ,28,3.2,5,58,4.4,0,0,0,9.452701476,9,0,0,0,0
82,Spoon ,28,5.1,0.8,22,25,0,0,0,9.851109054,9,0,0,0,0
92,Spoon ,27.90467925,2.880791772,3.170032382,37.41461456,25.66678114,0,0,0,5.729805178,9,0,0,0,0
87,Spoon ,28,3.5,2,0.9,21,0,0,0,10.34905718,9,0,0,0,0
92.5,Fork ,27.69131886,3.5,5,49.6,117,0,0,0,12,9,0,0,0,0
92,Spoon ,26,4.3,1,18,3,0,0,0,16,9,0,0,0,0
73.25,Fork ,29.34416959,3.5,4,59,41,0,0,0,11,9,0,0,0,0
79.25,Spoon ,28.32459801,4.23,6.5,66,12.68,0,0,0,11.35672303,9,0,0,0,0
92,Fork ,28,2,6,64,84.3,0,0,0,14,9,0,0,0,0
93.5,Spoon ,28,2.966398854,7.713719504,41.47939991,28.0928531,0,0,0,8,9,0,0,0,0
89.5,Spoon ,27,2,2,17,6,0,0,0,11,9,0,0,0,0
87.5,Spoon ,28,1.1,4,35,26.4,0,0,0,11,9,1,1,1,1
90.75,Fork ,29,1.98,4,43,57.8,0,0,0,11,9,0,0,0,0
79.5,Spoon ,27.94553242,1,5,40,3,0,0,0,15.00051122,9,0,0,0,0
87.5,Spoon ,28.71911714,3,1,51,27.3,0,0,0,17,9,0,0,0,0
81.25,Fork ,30,4.06,4,57,22,0,0,0,15.10692854,9,0,0,0,0
90.5,Spoon ,26,4.9,5.47151898,21,4.5,0,0,0,8,9,1,0,1,1
85.75,Fork ,34,2.1,16,81,6,0,0,0,23,9,1,1,1,1
97,Fork ,27,2,11,35,130,0,0,0,10,9,0,0,0,0
93.75,Spoon ,28,5.2,1,46,14,0,0,0,7.318459238,9,0,0,0,0
96.25,Spoon ,28,2.664634606,3.203102831,37.97655695,22.36632247,0,0,0,9,9,0,0,0,0
86.5,Spoon ,25,6,4,46,42,0,0,0,4,9,0,0,0,0
71.5,Fork ,29,2.7,15,31,9.4,0,0,0,18,9,1,1,1,1
73.75,Fork ,26,3.437871284,10.63316409,61.01901509,80.17152167,0,0,0,12,9,1,0,0,1
82.5,Spoon ,30,3.2,16,61.4,120,0,0,0,10.88311387,9,0,0,0,0
99.75,Fork ,28,2.5,2,84,74,0,0,0,9.304094167,9,0,0,0,0
93.25,Spoon ,26.72302956,3.442708334,9.329138868,36.26313775,30.67148453,0,0,0,13,9,0,0,0,0
87.5,Fork ,27.66508949,3.48,6,73,46.9,0,0,0,9.680178261,9,0,0,0,0
79,Fork ,28.08396241,2.5,15,51,19.7,0,0,0,13,9,1,1,1,1
86.5,Fork ,30,2.2,5,46,65,0,0,0,16.35946643,9,0,0,0,0
92.5,Fork ,28.58199952,2.6,6,83,94,0,0,0,17,9,0,0,0,0
101.5,Fork ,38,3,4,82,67.6,0,0,0,0,9,0,0,0,0
74.5,Fork ,28.78770618,2.7,6.470433056,65,73.00381463,0,0,0,15.27977682,9,0,0,0,0
86,Spoon ,27.53720543,1.1,4,28,2.7,0,0,0,11,9,0,0,0,0
91.25,Fork ,28,2.3,10,75,140,0,0,0,10.74968765,9,1,1,1,1
81.75,Spoon ,28,5.3,4.130341096,38.78054909,20.04500921,0,0,0,24,9,1,1,1,1
94.25,Spoon ,30,6.56,6,55,8.4,0,0,0,22,9,0,0,0,0
87.25,Fork ,28,2.6,15,64,90,0,0,0,8.770192843,9,0,0,0,0
102.5,Spoon ,29.44335143,2.5,5.918641204,53,167.5,0,0,0,9.12388597,9,0,0,0,0
88.75,Fork ,26,3.522844999,6.033353619,60.23913789,74.20249483,0,0,0,9,9,1,1,1,1
67.75,Spoon ,28,3.7,15,62,24,0,0,0,8,9,0,0,0,0
119.25,Spoon ,27.48735038,1.7,4.975679529,39,6,0,0,0,5.913553117,9,0,0,0,0
72.75,Spoon ,28,2.5,2,45,35,0,0,0,13.30840032,9,0,0,0,0
79.5,Fork ,31,2.5,6,44,37,0,0,0,26.5019574,9,1,1,1,1
78.75,Fork ,40,3.2,4,35,40,0,0,0,28.83119711,9,0,0,0,0
85.25,Spoon ,31,3.541177509,3.749309821,43.44613474,18.52658533,0,0,0,19,9,1,1,1,1
106,Spoon ,28.13391986,3.166768023,5.919175436,60.73777256,85.26090685,0,0,0,1.731461723,9,0,0,0,0
92.75,Spoon ,27,4.1,4,57,26.5,0,0,0,16,9,0,0,0,0
85.75,Fork ,39,2.9,8.5,66,90.1,0,0,0,23.71960626,9,0,0,0,0
93.25,Fork ,28,3.7,3,54,52,0,0,0,8.701310556,9,0,0,0,0
83,Spoon ,29.29319327,3,1,63,52.3,0,0,0,20,9,0,0,0,0
86,Fork ,31.47399278,1.2,6,84,60,0,0,0,22,9,0,0,0,0
70.5,Spoon ,30.9780015,0.8,10,25,12.8,0,0,0,42,9,1,1,1,1
92.25,Spoon ,30.23409659,3.731806578,5.435288209,48.71056521,33.19654669,0,0,0,26,9,0,0,0,0
94,Fork ,26,3.427566406,6.530056245,61.00116816,68.83749029,0,0,0,8.184876948,9,0,0,0,0
76.5,Spoon ,28.93505211,3.38,4.923623621,66.6,11.6,0,0,0,12.47692836,9,1,0,0,1
76.25,Spoon ,28,3.622771101,5.709872631,48.83814297,44.04400172,0,0,0,12,9,0,0,0,0
100,Fork ,35,6,5,83,76,0,0,0,9.774325653,9,1,1,1,1
87.75,Fork ,27.95868493,3.8,6,41,86.8,0,0,0,10,9,0,0,0,0
94,Fork ,32,1.5,5,57,72.2293166,0,0,0,17,9,0,0,0,0
81.5,Spoon ,28,1,8.316198814,94,3.8,0,0,0,27,9,1,0,1,1
92.25,Spoon ,31,3.8,3.877401359,46,30.55464015,1,1,2,13,9,1,0,1,1
85.5,Fork ,32.68255114,6.3,4,71,42.1,0,0,0,31,9,0,0,0,0
87.25,Spoon ,28.87175694,3.140635983,5.071728495,40.34519881,24.0270475,0,0,0,23,9,1,0,1,1
83.25,Fork ,26.82784181,1.5,4,55,22,0,0,0,10.27720908,9,0,0,0,0
93.75,Spoon ,30,1,8,0.1,6,0,0,0,15.64359964,9,1,1,1,1
70.75,Fork ,28.79015576,3.402160504,7.316721047,62.77708542,74.0479448,0,0,0,4.664779795,9,0,0,0,0
93.75,Spoon ,27.56596488,0,7.729362789,39.30875195,37.7061093,0,0,0,12.11082835,9,0,0,0,0
87.25,Fork ,29.02695977,2,5,62,104,0,0,0,20,9,1,1,1,1
97.75,Spoon ,29,4.5,8.200912783,57,14,0,0,0,9.799667239,9,0,0,0,0
96.5,Spoon ,35,1.8,5,41,18,0,0,0,18.27254295,9,0,0,0,0
78.25,Spoon ,29.36148457,4.7,2.704184982,10,1,0,0,0,22,9,0,0,0,0
77,Spoon ,30,2.5,61,21.2,41,0,0,0,9,9,1,0,1,1
93.75,Fork ,29,3.824859092,6.533680637,62.91878969,74.50864648,0,0,0,9.086035186,9,0,0,0,0
85,Spoon ,27.72234072,3.6,3,58,17.3,0,0,0,12,9,1,0,1,1
95,Spoon ,29,2.3,4,63.5,40.2,1,1,3,11,9,1,0,1,1
74,Spoon ,30,3.948866655,7.652302948,52.33934781,46.2648253,0,0,0,11,9,0,0,0,0
90.5,Fork ,28,3,4,63,92,0,0,0,10.1548201,9,1,0,0,1
74.75,Fork ,29.31722979,2.25,9,70.3,78.66,0,0,0,21,9,0,0,0,0
85.75,Spoon ,27,3.054979972,6.448553621,36.08897681,30.51936401,0,0,0,17.74550066,9,1,0,0,1
87.75,Spoon ,26,5.730061452,6.420289891,33.26662088,38.31083564,0,0,0,12.24930593,9,1,0,0,1
112.75,Spoon ,30,1.6,1,29,62,0,0,0,8.375364771,9,1,1,1,1
75.75,Fork ,60,2.1,10,74,192,0,0,0,13,9,0,0,0,0
75.75,Fork ,60,2.1,10,74,192,0,0,0,13,9,0,0,0,0
89.5,Fork ,28,2.7,8.5,71,9,0,0,0,15,9,1,1,1,1
105.75,Spoon ,27,3.7,26.9,90,68.6108887,0,0,0,3,9,1,0,0,1
106,Spoon ,27,0.5,10,65,54,0,0,0,5.074124702,9,0,0,0,0
